yourlist:M201907185C475328CEF75220C360D524E9D456CE29FB33D	Entry	Gene names	Protein names	EC number	Function [CC]	Pathway	Keywords	Protein existence	Gene ontology (GO)	Protein families	Taxonomic lineage (SUPERKINGDOM)	Taxonomic lineage (PHYLUM)	Taxonomic lineage (CLASS)	Taxonomic lineage (ORDER)	Taxonomic lineage (FAMILY)	Taxonomic lineage (GENUS)	Taxonomic lineage (SPECIES)	Cross-reference (BioCyc)	Cross-reference (BRENDA)	Cross-reference (CDD)	Cross-reference (eggNOG)	Ensembl transcript	Cross-reference (InterPro)	Cross-reference (KEGG)	Cross-reference (KO)	Cross-reference (Pfam)	Cross-reference (Reactome)	Cross-reference (RefSeq)	Cross-reference (UniPathway)	Organism	Organism ID
K2RRX2	K2RRX2	A994_08676	Threonine synthase (EC 4.2.3.1)	4.2.3.1	FUNCTION: Catalyzes the gamma-elimination of phosphate from L-phosphohomoserine and the beta-addition of water to produce L-threonine. {ECO:0000256|PIRNR:PIRNR038945}.	PATHWAY: Amino-acid biosynthesis; L-threonine biosynthesis; L-threonine from L-aspartate: step 5/5. {ECO:0000256|PIRNR:PIRNR038945}.	Amino-acid biosynthesis;Complete proteome;Lyase;Pyridoxal phosphate;Threonine biosynthesis	Inferred from homology	pyridoxal phosphate binding [GO:0030170]; threonine synthase activity [GO:0004795]; threonine biosynthetic process [GO:0009088]	Threonine synthase family	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum						IPR001926;IPR000634;IPR004450;IPR026260;IPR036052;			PF00291;		WP_004031092.1;	UPA00050;UER00065	Methanobacterium formicicum (strain DSM 3637 / PP1)	1204725
K2R1B6	K2R1B6	gap A994_05085	Glyceraldehyde-3-phosphate dehydrogenase (GAPDH) (EC 1.2.1.59) (NAD(P)-dependent glyceraldehyde-3-phosphate dehydrogenase)	1.2.1.59		PATHWAY: Carbohydrate degradation; glycolysis; pyruvate from D-glyceraldehyde 3-phosphate: step 1/5. {ECO:0000256|HAMAP-Rule:MF_00559, ECO:0000256|RuleBase:RU003388, ECO:0000256|SAAS:SAAS01167718}.	Complete proteome;Cytoplasm;Glycolysis;NAD;NADP;Oxidoreductase	Inferred from homology	cytoplasm [GO:0005737]; 4-hydroxy-tetrahydrodipicolinate reductase [GO:0008839]; glyceraldehyde-3-phosphate dehydrogenase (NAD+) (phosphorylating) activity [GO:0004365]; NAD binding [GO:0051287]; NADP binding [GO:0050661]; glycolytic process [GO:0006096]; lysine biosynthetic process via diaminopimelate [GO:0009089]	Glyceraldehyde-3-phosphate dehydrogenase family	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum						IPR000846;IPR020831;IPR020830;IPR020829;IPR020828;IPR006436;IPR036291;			PF01113;PF02800;		WP_004030267.1;	UPA00109;UER00184	Methanobacterium formicicum (strain DSM 3637 / PP1)	1204725
A0A090IAZ4	A0A090IAZ4	BRM9_1691 DSM1535_2338 MB9_0665	LmbE family protein (Putative secreted protein)				Complete proteome	Predicted			Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum						IPR003737;IPR024078;	mfc:BRM9_1691;mfi:DSM1535_2338;		PF02585;		WP_048073658.1;		Methanobacterium formicicum	2162
A0A090I4F4	A0A090I4F4	DSM1535_1754	Uncharacterized protein				Complete proteome	Predicted			Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum							mfi:DSM1535_1754;				WP_052659982.1;		Methanobacterium formicicum	2162
A0A090JSM8	A0A090JSM8	tfb BRM9_1877 DSM1535_0060 MB9_0480	Transcription initiation factor IIB (TFIIB)		FUNCTION: Stabilizes TBP binding to an archaeal box-A promoter. Also responsible for recruiting RNA polymerase II to the pre-initiation complex (DNA-TBP-TFIIB). {ECO:0000256|HAMAP-Rule:MF_00383}.		Complete proteome;Initiation factor;Metal-binding;Protein biosynthesis;Repeat;Transcription;Transcription regulation;Zinc;Zinc-finger	Inferred from homology	DNA-binding transcription factor activity [GO:0003700]; TBP-class protein binding [GO:0017025]; translation initiation factor activity [GO:0003743]; zinc ion binding [GO:0008270]; transcription preinitiation complex assembly [GO:0070897]	TFIIB family	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum			cd00043;			IPR013763;IPR036915;IPR000812;IPR023484;IPR023486;IPR013150;IPR013137;	mfc:BRM9_1877;mfi:DSM1535_0060;	K03124;	PF08271;PF00382;				Methanobacterium formicicum	2162
A0A090I544	A0A090I544	DSM1535_2354	Putative secreted protein				Complete proteome;Membrane;Transmembrane;Transmembrane helix	Predicted	integral component of membrane [GO:0016021]; biosynthetic process [GO:0009058]		Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum						IPR008969;IPR003672;	mfi:DSM1535_2354;	K02230;	PF02514;		WP_048073666.1;		Methanobacterium formicicum	2162
A0A090JVR0	A0A090JVR0	glyA DSM1535_1234	Serine hydroxymethyltransferase (SHMT) (Serine methylase) (EC 2.1.2.-)	2.1.2.-	FUNCTION: Catalyzes the reversible interconversion of serine and glycine with tetrahydromethanopterin (H4MPT) serving as the one-carbon carrier. Also exhibits a pteridine-independent aldolase activity toward beta-hydroxyamino acids, producing glycine and aldehydes, via a retro-aldol mechanism. {ECO:0000256|HAMAP-Rule:MF_00051}.	PATHWAY: Amino-acid biosynthesis; glycine biosynthesis; glycine from L-serine: step 1/1. {ECO:0000256|HAMAP-Rule:MF_00051}.	Amino-acid biosynthesis;Complete proteome;Cytoplasm;Methyltransferase;One-carbon metabolism;Pyridoxal phosphate;Transferase	Inferred from homology	cytoplasm [GO:0005737]; glycine hydroxymethyltransferase activity [GO:0004372]; methyltransferase activity [GO:0008168]; pyridoxal phosphate binding [GO:0030170]; glycine biosynthetic process from serine [GO:0019264]; tetrahydrofolate interconversion [GO:0035999]	SHMT family	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum			cd00378;			IPR015424;IPR015422;IPR015421;IPR001085;IPR019798;IPR039429;	mfi:DSM1535_1234;	K00600;	PF00464;		WP_048072768.1;	UPA00288;UER01023	Methanobacterium formicicum	2162
A0A090I929	A0A090I929	DSM1535_1464	Uncharacterized protein				Complete proteome;Membrane;Transmembrane;Transmembrane helix	Predicted	integral component of membrane [GO:0016021]		Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum							mfi:DSM1535_1464;				WP_048072966.1;		Methanobacterium formicicum	2162
K2REI5	K2REI5	A994_00820	Coenzyme F420 hydrogenase subunit gamma				Complete proteome	Predicted	coenzyme F420 hydrogenase activity [GO:0050454]; flavin adenine dinucleotide binding [GO:0050660]; iron-sulfur cluster binding [GO:0051536]; nickel cation binding [GO:0016151]		Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum						IPR017896;IPR017900;IPR017681;IPR006137;IPR037024;			PF00037;PF01058;		WP_004029352.1;		Methanobacterium formicicum (strain DSM 3637 / PP1)	1204725
A0A090JYP3	A0A090JYP3	BRM9_1738 DSM1535_2377 MB9_0619	Exosome subunit (Ribosome maturation protein SDO1 homolog)				Complete proteome	Predicted	mature ribosome assembly [GO:0042256]		Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum						IPR035647;IPR018978;IPR018023;IPR019783;IPR036786;IPR002140;IPR039100;IPR037188;	mfc:BRM9_1738;mfi:DSM1535_2377;	K14574;	PF01172;PF09377;		WP_048073682.1;		Methanobacterium formicicum	2162
A0A090JUS9	A0A090JUS9	DSM1535_0878	Putative secreted protein				Complete proteome	Predicted			Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum						IPR008969;IPR001434;IPR026466;IPR013783;	mfi:DSM1535_0878;		PF01345;				Methanobacterium formicicum	2162
A0A089ZED6	A0A089ZED6	rpl19e BRM9_0388 DSM1535_0316 MB9_1425	50S ribosomal protein L19e		FUNCTION: Binds to the 23S rRNA. {ECO:0000256|HAMAP-Rule:MF_01475}.		Complete proteome;RNA-binding;Ribonucleoprotein;Ribosomal protein;rRNA-binding	Inferred from homology	cytosolic large ribosomal subunit [GO:0022625]; large ribosomal subunit rRNA binding [GO:0070180]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]	Eukaryotic ribosomal protein eL19 family	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum			cd01418;			IPR035970;IPR000196;IPR023638;IPR015972;IPR033936;IPR039547;	mfc:BRM9_0388;mfi:DSM1535_0316;	K02885;	PF01280;		WP_048071990.1;		Methanobacterium formicicum	2162
K2RUG1	K2RUG1	A994_02793	UDP-glucose 4-epimerase				Complete proteome	Predicted	catalytic activity [GO:0003824]; coenzyme binding [GO:0050662]		Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum						IPR001509;IPR036291;			PF01370;				Methanobacterium formicicum (strain DSM 3637 / PP1)	1204725
K2R2P0	K2R2P0	A994_08561	Transcription factor CBF/NF-Y/histone domain-containing protein				Complete proteome	Predicted	protein heterodimerization activity [GO:0046982]		Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum						IPR003958;IPR009072;			PF00808;		WP_004031063.1;		Methanobacterium formicicum (strain DSM 3637 / PP1)	1204725
K2R8Z5	K2R8Z5	A994_12186	WD40-like repeat protein				Complete proteome;Membrane;Transmembrane;Transmembrane helix	Predicted	integral component of membrane [GO:0016021]		Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum						IPR001434;IPR018391;IPR002372;IPR011047;IPR015943;			PF13360;		WP_004031966.1;		Methanobacterium formicicum (strain DSM 3637 / PP1)	1204725
K2RRP5	K2RRP5	A994_08201	Oligosaccharyl transferase STT3 subunit				Complete proteome;Membrane;Transferase;Transmembrane;Transmembrane helix	Predicted	integral component of membrane [GO:0016021]; oligosaccharyl transferase activity [GO:0004576]; protein glycosylation [GO:0006486]		Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum						IPR003674;			PF02516;		WP_004030991.1;		Methanobacterium formicicum (strain DSM 3637 / PP1)	1204725
K2REV5	K2REV5	A994_01470	Uncharacterized protein				Coiled coil;Complete proteome	Predicted			Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum											WP_004029487.1;		Methanobacterium formicicum (strain DSM 3637 / PP1)	1204725
K2RE49	K2RE49	A994_00020	Uncharacterized protein				Complete proteome	Predicted			Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum						IPR016123;					WP_004029175.1;		Methanobacterium formicicum (strain DSM 3637 / PP1)	1204725
K2R118	K2R118	A994_11777	H4MPT-linked C1 transfer pathway protein				Complete proteome	Predicted	hydrolase activity [GO:0016787]		Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum						IPR002821;IPR002756;			PF01968;		WP_004031873.1;		Methanobacterium formicicum (strain DSM 3637 / PP1)	1204725
A0A090JSL9	A0A090JSL9	DSM1535_0050	Uncharacterized protein				Complete proteome	Predicted			Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum						IPR013560;IPR007553;IPR017087;	mfi:DSM1535_0050;		PF08349;PF04463;				Methanobacterium formicicum	2162
A0A090IAI9	A0A090IAI9	cbiD DSM1535_2160	Cobalt-precorrin-5B C(1)-methyltransferase (EC 2.1.1.195) (Cobalt-precorrin-6A synthase)	2.1.1.195	FUNCTION: Catalyzes the methylation of C-1 in cobalt-precorrin-5B to form cobalt-precorrin-6A. {ECO:0000256|HAMAP-Rule:MF_00787}.	PATHWAY: Cofactor biosynthesis; adenosylcobalamin biosynthesis; cob(II)yrinate a,c-diamide from sirohydrochlorin (anaerobic route): step 6/10. {ECO:0000256|HAMAP-Rule:MF_00787}.	Cobalamin biosynthesis;Complete proteome;Methyltransferase;S-adenosyl-L-methionine;Transferase	Inferred from homology	methyltransferase activity [GO:0008168]; cobalamin biosynthetic process [GO:0009236]; corrin biosynthetic process [GO:0046140]	CbiD family	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum						IPR002748;IPR036074;	mfi:DSM1535_2160;	K02188;	PF01888;			UPA00148;UER00227	Methanobacterium formicicum	2162
A0A090I8F0	A0A090I8F0	DSM1535_1172	Putative membrane protein				Complete proteome;Membrane;Transmembrane;Transmembrane helix	Predicted	integral component of membrane [GO:0016021]		Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum						IPR032816;	mfi:DSM1535_1172;		PF09335;		WP_048072714.1;		Methanobacterium formicicum	2162
A0A090I871	A0A090I871	sppA1 BRM9_1467 DSM1535_2158 MB9_0840	Signal peptide peptidase SppA, 36K type (Signal peptide peptidase SppA1)				Complete proteome;Membrane;Transmembrane;Transmembrane helix	Predicted	integral component of membrane [GO:0016021]; peptidase activity [GO:0008233]		Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum			cd07023;			IPR029045;IPR004635;IPR002142;	mfc:BRM9_1467;mfi:DSM1535_2158;	K04773;	PF01343;		WP_048073503.1;		Methanobacterium formicicum	2162
A0A090I4B6	A0A090I4B6	DSM1535_0190	Uncharacterized protein				Complete proteome;Membrane;Transmembrane;Transmembrane helix	Predicted	integral component of membrane [GO:0016021]		Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum						IPR036168;IPR001434;IPR011050;	mfi:DSM1535_0190;		PF01345;		WP_048071885.1;		Methanobacterium formicicum	2162
K2R2B6	K2R2B6	A994_00240	NADH ubiquinone oxidoreductase 20 kDa subunit				Complete proteome;Ubiquinone	Predicted	iron-sulfur cluster binding [GO:0051536]; oxidation-reduction process [GO:0055114]		Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum						IPR006137;			PF01058;		WP_004029224.1;		Methanobacterium formicicum (strain DSM 3637 / PP1)	1204725
K2R2N5	K2R2N5	A994_00840	Uncharacterized protein				Coiled coil;Complete proteome	Predicted			Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum						IPR004425;IPR019151;IPR038389;			PF09754;				Methanobacterium formicicum (strain DSM 3637 / PP1)	1204725
A0A089ZFS2	A0A089ZFS2	argG BRM9_2150 MB9_2181	Argininosuccinate synthase (EC 6.3.4.5) (Citrulline--aspartate ligase)	6.3.4.5		PATHWAY: Amino-acid biosynthesis; L-arginine biosynthesis; L-arginine from L-ornithine and carbamoyl phosphate: step 2/3. {ECO:0000256|HAMAP-Rule:MF_00005}.	ATP-binding;Amino-acid biosynthesis;Arginine biosynthesis;Complete proteome;Cytoplasm;Ligase;Nucleotide-binding	Inferred from homology	cytoplasm [GO:0005737]; argininosuccinate synthase activity [GO:0004055]; ATP binding [GO:0005524]; arginine biosynthetic process [GO:0006526]	Argininosuccinate synthase family, Type 1 subfamily	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum			cd01999;			IPR001518;IPR018223;IPR023434;IPR024074;IPR014729;	mfc:BRM9_2150;	K01940;	PF00764;		WP_048085728.1;	UPA00068;UER00113	Methanobacterium formicicum	2162
A0A0S4FPQ4	A0A0S4FPQ4	MB9_1336	Putative rubrerythrin				Complete proteome	Predicted	metal ion binding [GO:0046872]; oxidoreductase activity [GO:0016491]		Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum			cd01041;			IPR012347;IPR009040;IPR009078;IPR003251;			PF02915;		WP_060537758.1;		Methanobacterium formicicum	2162
K2R140	K2R140	A994_04810	AAA ATPase				Complete proteome	Predicted	ATP binding [GO:0005524]; hydrolase activity [GO:0016787]		Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum						IPR003593;IPR005938;IPR041569;IPR009010;IPR003959;IPR003960;IPR004201;IPR029067;IPR003338;IPR027417;			PF00004;PF17862;PF02933;PF02359;		WP_004030208.1;		Methanobacterium formicicum (strain DSM 3637 / PP1)	1204725
K2R0Q6	K2R0Q6	gch3 A994_04185	GTP cyclohydrolase III (EC 3.5.4.29)	3.5.4.29	FUNCTION: Catalyzes the formation of 2-amino-5-formylamino-6-ribofuranosylamino-4(3H)-pyrimidinone ribonucleotide monophosphate and inorganic phosphate from GTP. Also has an independent pyrophosphate phosphohydrolase activity. {ECO:0000256|HAMAP-Rule:MF_00608, ECO:0000256|PIRNR:PIRNR009265}.		Complete proteome;GTP-binding;Hydrolase;Nucleotide-binding	Inferred from homology	GTP binding [GO:0005525]; GTP cyclohydrolase IIa activity [GO:0043740]; biosynthetic process [GO:0009058]	Archaeal-type GTP cyclohydrolase family	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum						IPR007839;IPR029787;			PF05165;		WP_004030057.1;		Methanobacterium formicicum (strain DSM 3637 / PP1)	1204725
K2QZS6	K2QZS6	A994_06900	UPF0145 protein A994_06900				Complete proteome	Inferred from homology		UPF0145 family	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum						IPR002765;IPR035439;			PF01906;		WP_004030672.1;		Methanobacterium formicicum (strain DSM 3637 / PP1)	1204725
A0A089ZA12	A0A089ZA12	rps15 BRM9_0008 MB9_2433	30S ribosomal protein S15				Complete proteome;Ribonucleoprotein;Ribosomal protein	Inferred from homology	ribosome [GO:0005840]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]	Universal ribosomal protein uS15 family	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum			cd00353;			IPR012606;IPR000589;IPR023029;IPR009068;	mfc:BRM9_0008;	K02956;	PF08069;PF00312;		WP_048084317.1;		Methanobacterium formicicum	2162
A0A089ZDP9	A0A089ZDP9	BRM9_0099 MB9_0063	Methanogenesis marker protein 13				Complete proteome	Predicted	oxidoreductase activity [GO:0016491]		Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum						IPR017675;IPR000510;	mfc:BRM9_0099;	K21611;	PF00148;		WP_048084400.1;		Methanobacterium formicicum	2162
K2RR02	K2RR02	rpl1P rpl1 A994_09898	50S ribosomal protein L1		FUNCTION: Binds directly to 23S rRNA. Probably involved in E site tRNA release. {ECO:0000256|HAMAP-Rule:MF_01318}.; FUNCTION: Protein L1 is also a translational repressor protein, it controls the translation of its operon by binding to its mRNA. {ECO:0000256|HAMAP-Rule:MF_01318}.		Complete proteome;RNA-binding;Repressor;Ribonucleoprotein;Ribosomal protein;Translation regulation;rRNA-binding;tRNA-binding	Inferred from homology	large ribosomal subunit [GO:0015934]; rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]; tRNA binding [GO:0000049]; regulation of translation [GO:0006417]; translation [GO:0006412]	Universal ribosomal protein uL1 family	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum			cd00403;			IPR002143;IPR023674;IPR028364;IPR016095;IPR023669;			PF00687;		WP_004031409.1;		Methanobacterium formicicum (strain DSM 3637 / PP1)	1204725
K2R4C2	K2R4C2	A994_06266	Flavodoxin/nitric oxide synthase				Complete proteome	Predicted	electron transfer activity [GO:0009055]; FMN binding [GO:0010181]; metal ion binding [GO:0046872]		Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum						IPR008254;IPR029039;IPR001279;IPR036866;IPR016440;			PF00258;PF00753;		WP_004030529.1;		Methanobacterium formicicum (strain DSM 3637 / PP1)	1204725
K2QEU7	K2QEU7	A994_00005	Coenzyme A biosynthesis bifunctional protein CoaBC (EC 4.1.1.36) (EC 6.3.2.5) (DNA/pantothenate metabolism flavoprotein)	4.1.1.36; 6.3.2.5	FUNCTION: Catalyzes two steps in the biosynthesis of coenzyme A. In the first step cysteine is conjugated to 4'-phosphopantothenate to form 4-phosphopantothenoylcysteine, in the latter compound is decarboxylated to form 4'-phosphopantotheine. {ECO:0000256|RuleBase:RU364078}.	PATHWAY: Cofactor biosynthesis; coenzyme A biosynthesis; CoA from (R)-pantothenate: step 2/5. {ECO:0000256|RuleBase:RU364078}.; PATHWAY: Cofactor biosynthesis; coenzyme A biosynthesis; CoA from (R)-pantothenate: step 3/5. {ECO:0000256|RuleBase:RU364078}.	Complete proteome;Decarboxylase;FMN;Flavoprotein;Ligase;Lyase	Inferred from homology	FMN binding [GO:0010181]; phosphopantothenate--cysteine ligase activity [GO:0004632]; phosphopantothenoylcysteine decarboxylase activity [GO:0004633]; coenzyme A biosynthetic process [GO:0015937]; pantothenate catabolic process [GO:0015941]	PPC synthetase family; HFCD (homo-oligomeric flavin containing Cys decarboxylase) superfamily	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum						IPR035929;IPR005252;IPR007085;IPR036551;IPR003382;			PF04127;PF02441;		WP_004029172.1;	UPA00241;UER00353, UPA00241;UER00354	Methanobacterium formicicum (strain DSM 3637 / PP1)	1204725
